us_city,full_us_state,us_state,population,density,"City,State",airport
New York,New York,NY,8175133,26821.3,"New York,NY",KNYC
Los Angeles,California,CA,3792621,8092.3,"Los Angeles,CA",KCQT
Chicago,Illinois,IL,2695598,11841.8,"Chicago,IL",KORD
Houston,Texas,TX,2099451,3501.5,"Houston,TX",KMCJ
Philadelphia,Pennsylvania,PA,1526006,11379.5,"Philadelphia,PA",KPHL
Phoenix,Arizona,AZ,1445632,2797.8,"Phoenix,AZ",KPHX
San Antonio,Texas,TX,1327407,2879.8,"San Antonio,TX",KSAT
San Diego,California,CA,1307402,4020.4,"San Diego,CA",KSAN
Dallas,Texas,TX,1197816,3517.6,"Dallas,TX",KDAL
San Jose,California,CA,945942,5358.6,"San Jose,CA",KSJC
Jacksonville,Florida,FL,821784,1100.1,"Jacksonville,FL",KNIP
Indianapolis,Indiana,IN,820445,2270,"Indianapolis,IN",KEYE
San Francisco,California,CA,805235,17179.2,"San Francisco,CA",KSFO
Austin,Texas,TX,790390,2653.2,"Austin,TX",KATT
Columbus,Ohio,OH,787033,3624.1,"Columbus,OH",KOSU
Fort Worth,Texas,TX,741206,2181.2,"Fort Worth,TX",KFTW
Charlotte,North Carolina,NC,731424,2457.1,"Charlotte,NC",KCLT
Detroit,Michigan,MI,713777,5144.3,"Detroit,MI",KDET
El Paso,Texas,TX,649121,2543.2,"El Paso,TX",KELP
Memphis,Tennessee,TN,646889,2053.3,"Memphis,TN",KMEM
Baltimore,Maryland,MD,620961,7671.5,"Baltimore,MD",KDMH
Boston,Massachusetts,MA,617594,12792.7,"Boston,MA",KBOS
Seattle,Washington,WA,608660,7250.9,"Seattle,WA",KBFI
Washington,District of Columbia,DC,601723,9856.5,"Washington,DC",KDCA
Nashville,Tennessee,TN,601222,1265.4,"Nashville,TN",KBNA
Denver,Colorado,CO,600158,3922.6,"Denver,CO",KBKF
Louisville,Kentucky,KY,597337,1836.6,"Louisville,KY",KLOU
Milwaukee,Wisconsin,WI,594833,6184.7,"Milwaukee,WI",KMKE
Portland,Oregon,OR,583776,4375.3,"Portland,OR",KPDX
Las Vegas,Nevada,NV,583756,4298.2,"Las Vegas,NV",KVGT
Oklahoma City,Oklahoma,OK,579999,956.4,"Oklahoma City,OK",KOKC
Albuquerque,New Mexico,NM,545852,2907.6,"Albuquerque,NM",KABQ
Tucson,Arizona,AZ,520116,2294.2,"Tucson,AZ",KDMA
Fresno,California,CA,494665,4418.4,"Fresno,CA",KFAT
Sacramento,California,CA,466488,4764.2,"Sacramento,CA",KSAC
Long Beach,California,CA,462257,9191.2,"Long Beach,CA",KLGB
Kansas City,Missouri,MO,459787,1459.9,"Kansas City,MO",KNKA
Mesa,Arizona,AZ,439041,3217.5,"Mesa,AZ",KFFZ
Virginia Beach,Virginia,VA,437994,1758.9,"Virginia Beach,VA",KNTU
Atlanta,Georgia,GA,420003,3154.3,"Atlanta,GA",KFTY
Colorado Springs,Colorado,CO,416427,2140.6,"Colorado Springs,CO",KCOS
Omaha,Nebraska,NE,408958,3217.9,"Omaha,NE",KOMA
Raleigh,North Carolina,NC,403892,2826.3,"Raleigh,NC",KRDU
Miami,Florida,FL,399457,11135.9,"Miami,FL",KMIA
Cleveland,Ohio,OH,396815,5107.2,"Cleveland,OH",KBKL
Tulsa,Oklahoma,OK,391906,1991.9,"Tulsa,OK",KTUL
Oakland,California,CA,390724,7004,"Oakland,CA",KOAK
Minneapolis,Minnesota,MN,382578,7088.3,"Minneapolis,MN",KMIC
Wichita,Kansas,KS,382368,2400.4,"Wichita,KS",KICT
Arlington,Texas,TX,365438,3811.3,"Arlington,TX",KGKY
Bakersfield,California,CA,347483,2444.2,"Bakersfield,CA",KBFL
New Orleans,Louisiana,LA,343829,2029.4,"New Orleans,LA",KAUD
Honolulu,Hawaii,HI,337256,5572.6,"Honolulu,HI",PHNL
Anaheim,California,CA,336265,6747.5,"Anaheim,CA",KFUL
Tampa,Florida,FL,335709,2960.2,"Tampa,FL",KTPF
Aurora,Colorado,CO,325078,2100.9,"Aurora,CO",KBKF
Santa Ana,California,CA,324528,11900.8,"Santa Ana,CA",KSNA
St. Louis,Missouri,MO,319294,5157.5,"St. Louis,MO",KCPS
Pittsburgh,Pennsylvania,PA,305704,5521.4,"Pittsburgh,PA",KAGC
Corpus Christi,Texas,TX,305215,1900.3,"Corpus Christi,TX",KCRP
Riverside,California,CA,303871,3745,"Riverside,CA",KRAL
Cincinnati,Ohio,OH,296943,3809.8,"Cincinnati,OH",KLUK
